4.8-6.8	5.2-7.4	122	0	40	79	1.000	0.753	0.859
4.8-6.8	5.2-7.6	126	0	36	79	1.000	0.778	0.875
4.8-6.8	5.2-7.8	134	0	28	79	1.000	0.827	0.905
4.8-6.8	5.2-8.0	138	0	24	79	1.000	0.852	0.920
4.8-6.8	5.2-8.2	139	0	23	79	1.000	0.858	0.924
4.8-6.8	5.4-7.4	117	0	45	79	1.000	0.722	0.839
4.8-6.8	5.4-7.6	121	0	41	79	1.000	0.747	0.855
4.8-6.8	5.4-7.8	129	0	33	79	1.000	0.796	0.887
4.8-6.8	5.4-8.0	138	0	24	79	1.000	0.852	0.920
4.8-6.8	5.4-8.2	139	0	23	79	1.000	0.858	0.924
4.8-7.0	4.8-7.4	123	0	39	79	1.000	0.759	0.863
4.8-7.0	4.8-7.6	127	0	35	79	1.000	0.784	0.879
4.8-7.0	4.8-7.8	135	0	27	79	1.000	0.833	0.909
4.8-7.0	4.8-8.0	138	0	24	79	1.000	0.852	0.920
4.8-7.0	4.8-8.2	139	0	23	79	1.000	0.858	0.924
4.8-7.0	5.0-7.4	123	0	39	79	1.000	0.759	0.863
4.8-7.0	5.0-7.6	127	0	35	79	1.000	0.784	0.879
4.8-7.0	5.0-7.8	135	0	27	79	1.000	0.833	0.909
