product	n_queries	freq_all	freq_with_data	total
carboxylic ester hydrolase	2	0.002	0.005	2
alpha/beta hydrolase	2	0.002	0.005	2
cys-gln thioester bond-forming surface protein	2	0.002	0.005	2
transcription elongation factor grea	2	0.002	0.005	2
marr family transcriptional regulator	2	0.002	0.005	2
threonine ammonia-lyase	2	0.002	0.005	2
cystathionine gamma-synthase	2	0.002	0.005	2
cyclophilin-type peptidyl-prolyl cis-trans isomerase	2	0.002	0.005	2
ankyrin repeat domain protein	2	0.002	0.005	2
set methyltransferase domain containing protein	2	0.002	0.005	4
gtp-binding protein era	2	0.002	0.005	2
nucleotide-diphospho-sugar transferase	2	0.002	0.005	2
rhs repeat-associated core domain containing protein	2	0.002	0.005	2
cofilin/tropomyosin-type actin-binding protein	2	0.002	0.005	2
laminin g domain containing protein	2	0.002	0.005	2
acetokinase family-domain-containing protein	2	0.002	0.005	2
vacuolar amino acid permease	2	0.002	0.005	2
phosphoribosylglycinamide formyltransferase	2	0.002	0.005	2
wd40-repeat-containing domain protein	2	0.002	0.005	2
cellulose-growth-specific protein	2	0.002	0.005	2
50s ribosomal protein l14	2	0.002	0.005	2
histone-lysine n-methyltransferase set9	2	0.002	0.005	2
peptidyl-prolyl cis-trans isomerase ssp-1	2	0.002	0.005	2
armadillo-type protein	2	0.002	0.005	2
nucleoside phosphorylase domain-containing protein	2	0.002	0.005	2
aminotransferase class i and ii	2	0.002	0.005	2
nadp-dependent oxidoreductase domain-containing protein	2	0.002	0.005	2
niemann-pick type c- protein 1	2	0.002	0.005	2
myb-like dna-binding protein bas1	2	0.002	0.005	2
glucooligosaccharide oxidase	2	0.002	0.005	2
gmc oxidoreductase-domain-containing protein	2	0.002	0.005	2
lipoxygenase	2	0.002	0.005	4
sodium/calcium exchanger protein-domain-containing protein	2	0.002	0.005	2
peptidyl-trna hydrolase	2	0.002	0.005	2
hemolysin-iii related-domain-containing protein	2	0.002	0.005	2
ras-induced vulval development antagonist-domain-containing protein	2	0.002	0.005	2
bifunctional 6-phosphofructo-2-kinase/fructose-2,6-bisphosphate 2-phosphatase	2	0.002	0.005	2
amidase signature domain-containing protein	2	0.002	0.005	2
coproporphyrinogen iii oxidase	2	0.002	0.005	2
anion exchanging protein	2	0.002	0.005	2
ubiquitin-conjugating enzyme/rwd-like protein	2	0.002	0.005	2
isochorismatase-like protein	2	0.002	0.005	2
nse4 c-terminal-domain-containing protein	2	0.002	0.005	2
alpha/beta hydrolase fold-1	2	0.002	0.005	3
apc amino acid permease	2	0.002	0.005	2
glycosyl hydrolase family 61-domain-containing protein	2	0.002	0.005	3
2og-fe(ii) oxygenase	2	0.002	0.005	2
nudix domain-containing protein	2	0.002	0.005	2
wd domain-containing protein	2	0.002	0.005	2
xaa-pro aminopeptidase family enzyme	2	0.002	0.005	2
chorismate synthase	2	0.002	0.005	2
aspartic peptidase domain-containing protein	2	0.002	0.005	2
actin-2	2	0.002	0.005	3
sulfite oxidase	2	0.002	0.005	2
nad dependent epimerase/dehydratase	2	0.002	0.005	2
mitochondrial ribosomal protein subunit s4	2	0.002	0.005	2
dna-repair protein rad2	2	0.002	0.005	2
nad(p)-dependent alcohol dehydrogenase	2	0.002	0.005	2
predicted protein	2	0.002	0.005	11
aromatic amino acid ammonia-lyase	2	0.002	0.005	2
alcohol dehydogenase	2	0.002	0.005	2
mbl fold metallo-hydrolase	2	0.002	0.005	2
mini-chromosome maintenance replisome factor-domain-containing protein	2	0.002	0.005	2
bifunctional purine biosynthetic protein ade1	2	0.002	0.005	2
proteasome subunit alpha type-3	2	0.002	0.005	2
histone h2a.z-specific chaperone chz1	2	0.002	0.005	2
nuclear sam-dependent mono-and asymmetric methyltransferase	2	0.002	0.005	2
copper transpport protein	2	0.002	0.005	2
nuclear sam-dependent mono-and asymmetric methyltransferase, variant 3	2	0.002	0.005	2
nuclear sam-dependent mono-and asymmetric methyltransferase, variant 2	2	0.002	0.005	2
er membrane protein dp1/yop1	2	0.002	0.005	2
5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase	2	0.002	0.005	2
putative homoaconitase, mitochondrial	2	0.002	0.005	2
putative fungal-specific transcription factor domain-containing protein	2	0.002	0.005	2
putative 3-oxoacyl-reductase	2	0.002	0.005	2
putative nrps-like enzyme	2	0.002	0.005	2
putative fe2og dioxygenase domain-containing protein	2	0.002	0.005	2
putative serine hydrolase fsh domain-containing protein	2	0.002	0.005	2
putative synaptic vesicle transporter	2	0.002	0.005	2
putative major facilitator superfamily domain-containing protein	2	0.002	0.005	2
putative breast cancer protein	2	0.002	0.005	2
response regulator	2	0.002	0.005	2
sco family protein	2	0.002	0.005	2
yfjp family gtpase	2	0.002	0.005	2
pyridoxamine 5'-phosphate oxidase	2	0.002	0.005	2
carboxymuconolactone decarboxylase family protein	2	0.002	0.005	2
abc transporter permease subunit	2	0.002	0.005	2
abc transporter substrate-binding protein	2	0.002	0.005	2
s8 family serine peptidase	2	0.002	0.005	2
duf397 domain-containing protein	2	0.002	0.005	2
gaf domain-containing protein	2	0.002	0.005	2
tyrosine-type recombinase/integrase	2	0.002	0.005	4
acetyl-coa c-acyltransferase	2	0.002	0.005	2
3-hydroxyacyl-coa dehydrogenase/enoyl-coa hydratase family protein	2	0.002	0.005	2
23s rrna (adenine(2503)-c(2))-methyltransferase rlmn	2	0.002	0.005	2
nucleoside-diphosphate kinase	2	0.002	0.005	2
type iv pilus biogenesis/stability protein pilw	2	0.002	0.005	2
3-hydroxyacyl-coa dehydrogenase nad-binding domain-containing protein	2	0.002	0.005	2
acetyl-coa c-acetyltransferase	2	0.002	0.005	2
ras gtpase-activating protein	2	0.002	0.005	2
spry-domain-containing protein	2	0.002	0.005	2
copper chaperon	2	0.002	0.005	2
tri8	2	0.002	0.005	2
tri10	2	0.002	0.005	2
hypothetical protein, variant	2	0.002	0.005	3
lysine-trna ligase	1	0.001	0.002	1
acyl-coa thioesterase ii	1	0.001	0.002	1
reca protein	1	0.001	0.002	1
dna repair protein rad51 1	1	0.001	0.002	1
tkl protein kinase	1	0.001	0.002	1
putative pectate lyase	1	0.001	0.002	1
homeobox domain protein	1	0.001	0.002	1
serine/threonine kinase catalytic domain protein	1	0.001	0.002	1
mage-domain protein	1	0.001	0.002	1
metallopeptidase family m84 protein	1	0.001	0.002	1
putative extracellular metalloprotease	1	0.001	0.002	1
nad(p)h-binding family protein	1	0.001	0.002	1
tp53 regulating kinase	1	0.001	0.002	1
glycoside hydrolase family 18 protein	1	0.001	0.002	1
ubx domain protein	1	0.001	0.002	1
ornithine decarboxylase antizyme protein	1	0.001	0.002	1
serine/threonine-protein phosphatase	1	0.001	0.002	1
u6 snrna-associated-like-sm protein lsm2	1	0.001	0.002	1
dioxygenase	1	0.001	0.002	1
hmg (high mobility group) box protein	1	0.001	0.002	1
