product	n_queries	freq_all	freq_with_data	total
ribosome biogenesis gtpase der	1	0.001	0.002	1
duf4115 domain-containing protein	1	0.001	0.002	1
glycine betaine transporter betp	1	0.001	0.002	1
fr47-like protein	1	0.001	0.002	1
glycerate 2-kinase	1	0.001	0.002	1
bifunctional protein paaz	1	0.001	0.002	1
malyl-coa lyase	1	0.001	0.002	1
rna pyrophosphohydrolase	1	0.001	0.002	1
alkanesulfonate monooxygenase	1	0.001	0.002	1
dna-3-methyladenine glycosylase 2	1	0.001	0.002	1
methylmalonyl-coa mutase	1	0.001	0.002	1
o-acetyl-adp-ribose deacetylase	1	0.001	0.002	1
acetyltransferase (gnat) family protein	1	0.001	0.002	1
hth-type transcriptional repressor bm3r1	1	0.001	0.002	1
cdp-alcohol phosphatidyltransferase	1	0.001	0.002	1
peptide-methionine (s)-s-oxide reductase msra	1	0.001	0.002	1
duf4307 domain-containing protein	1	0.001	0.002	1
mycothiol conjugate amidase mca	1	0.001	0.002	1
nol1/nop2/sun domain family	1	0.001	0.002	1
ubix family flavin prenyltransferase	1	0.001	0.002	1
marr family winged helix-turn-helix transcriptional regulator	1	0.001	0.002	1
pss-domain-containing protein	1	0.001	0.002	1
adp-ribosylation	1	0.001	0.002	1
l-methionine transporter	1	0.001	0.002	1
rta1p-like protein	1	0.001	0.002	1
phosphatase	1	0.001	0.002	1
nitrogen metabolic regulatory protein	1	0.001	0.002	1
bacteriocin-protection ydei or ompd-associated-domain-containing protein	1	0.001	0.002	1
bar domain-containing protein	1	0.001	0.002	1
amino acid permease-domain-containing protein	1	0.001	0.002	1
na+:solute symporter	1	0.001	0.002	1
adp-ribosylglycohydrolase family protein	1	0.001	0.002	1
aromatic acid/h+ symport family mfs transporter	1	0.001	0.002	1
bro1-domain-containing protein	1	0.001	0.002	1
bromodomain-containing protein	1	0.001	0.002	1
zf-dhhc-domain-containing protein	1	0.001	0.002	1
inorganic diphosphatase	1	0.001	0.002	1
dolichol-phosphate mannosyltransferase subunit 3	1	0.001	0.002	1
nop52-domain-containing protein	1	0.001	0.002	1
rabgap/tbc	1	0.001	0.002	1
electron transfer flavoprotein beta subunit	1	0.001	0.002	1
fatty acid desaturase-domain-containing protein	1	0.001	0.002	2
electron transfer flavoprotein, beta subunit	1	0.001	0.002	1
hit-like protein	1	0.001	0.002	1
chitinase 2	1	0.001	0.002	2
white collar-2	1	0.001	0.002	1
3-ketoacyl-coa reductase	1	0.001	0.002	1
reverse transcriptase domain protein	1	0.001	0.002	1
histidine kinase 5-like protein 2	1	0.001	0.002	2
cysteine desulfurase	1	0.001	0.002	1
alkaline proteinase	1	0.001	0.002	1
nitrosoguanidine resistance protein	1	0.001	0.002	1
abc-2 type transporter	1	0.001	0.002	1
subtilisin-like protease	1	0.001	0.002	1
proteasome subunit alpha type 4	1	0.001	0.002	1
fungal transcriptional regulatory protein	1	0.001	0.002	1
pyrroline-5-carboxylate reductase	1	0.001	0.002	1
ov-16 antigen	1	0.001	0.002	1
cytochrome p450 61	1	0.001	0.002	1
extracellular serine-rich protein	1	0.001	0.002	1
glycoside hydrolase family 61 protein	1	0.001	0.002	1
c6 zinc finger domain-containing protein	1	0.001	0.002	1
cytochrome p450 pisatin	1	0.001	0.002	1
adenosine deaminase/editase	1	0.001	0.002	1
alpha-1,6-mannosyltransferase subunit	1	0.001	0.002	1
glutamic protease	1	0.001	0.002	1
short-chain dehydrogenase/reductase	1	0.001	0.002	1
signal transducer	1	0.001	0.002	1
ribosomal protein s5 domain 2-like protein	1	0.001	0.002	1
cytochrome p450 monooxygenase cyp63	1	0.001	0.002	1
duf21-domain-containing protein	1	0.001	0.002	1
gpi1-domain-containing protein	1	0.001	0.002	1
cbf-domain-containing protein	1	0.001	0.002	1
enth-domain-containing protein	1	0.001	0.002	1
rna-directed rna polymerase	1	0.001	0.002	1
sec63-domain-containing protein	1	0.001	0.002	1
dna glycosylase	1	0.001	0.002	1
set domain-containing protein	1	0.001	0.002	1
hydantoin racemase	1	0.001	0.002	1
glucan 1,3-beta-glucosidase d 1	1	0.001	0.002	1
putative aldo/keto reductase	1	0.001	0.002	1
ankyrin-2 ankyrin	1	0.001	0.002	1
gag protein	1	0.001	0.002	1
cytosine-purine permease	1	0.001	0.002	1
phosphoglycerate mutase	1	0.001	0.002	1
endoribonuclease l-psp	1	0.001	0.002	1
dhna-type aldolase	1	0.001	0.002	1
3,4-ahba synthase	1	0.001	0.002	1
putative sarp-family transcriptional activator	1	0.001	0.002	1
putative nadp oxidoreductase	1	0.001	0.002	1
putative laci-family transcriptional regulator	1	0.001	0.002	1
putative carboxylesterase	1	0.001	0.002	1
putative aspartokinase	1	0.001	0.002	1
putative major facilitator family transporter	1	0.001	0.002	1
putative luxr-family transcriptional regulator	1	0.001	0.002	1
putative fad-dependent oxygenase	1	0.001	0.002	1
putative transcriptional regulatory protein	1	0.001	0.002	1
amidotransferase	1	0.001	0.002	1
nucleotide excision repair protein rad23	1	0.001	0.002	1
1-acyl-sn-glycerol-3-phosphate acyltransferase beta	1	0.001	0.002	1
cryptochrome-1	1	0.001	0.002	1
enterobactin synthetase component f	1	0.001	0.002	1
multidrug resistance protein	1	0.001	0.002	1
vosa	1	0.001	0.002	1
gmp synthase	1	0.001	0.002	1
upf0057-domain-containing protein	1	0.001	0.002	1
small gtp-binding protein domain	1	0.001	0.002	1
tri5	1	0.001	0.002	1
tri3	1	0.001	0.002	1
tri12	1	0.001	0.002	1
tri11	1	0.001	0.002	1
tri6	1	0.001	0.002	1
tri4	1	0.001	0.002	1
glycoside hydrolase family 12 protein	1	0.001	0.002	1
nadph oxidase 3	1	0.001	0.002	1
cytochrome p450 monooxygenase fck2	1	0.001	0.002	1
cytochrome b561, dm13 and domon domain-containing protein	1	0.001	0.002	1
transposon tf2-9 polyprotein	1	0.001	0.002	1
aspercryptin biosynthesis cluster-specific transcription regulator atnn	1	0.001	0.002	1
piii-type proteinase	1	0.001	0.002	1
uracil permease	1	0.001	0.002	1
upf0676 protein	1	0.001	0.002	1
plasma membrane proteolipid 3	1	0.001	0.002	1
cytochrome p450 4f6	1	0.001	0.002	1
vanillyl-alcohol oxidase	1	0.001	0.002	1
nadh-cytochrome b5 reductase 1	1	0.001	0.002	1
putative zinc-type alcohol dehydrogenase-like protein adhb	1	0.001	0.002	1
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	1	0.001	0.002	1
choline transport protein	1	0.001	0.002	2
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase 1	1	0.001	0.002	1
medium-chain specific acyl-coa dehydrogenase, mitochondrial	1	0.001	0.002	1
major intracellular serine protease	1	0.001	0.002	1
putative transporter c3h1.06c	1	0.001	0.002	1
putative trichothecene c-15 hydroxylase	1	0.001	0.002	1
acetylesterase	1	0.001	0.002	1
glucosidase	1	0.001	0.002	1
positive regulatory protein	1	0.001	0.002	1
tri9	1	0.001	0.002	1
unknown	1	0.001	0.002	3
putative 15-o-acetyltransferase	1	0.001	0.002	1
putative trichothecene biosynthesis gene	1	0.001	0.002	2
trichothecene c-15 esterase	1	0.001	0.002	1
positive transcription factor	1	0.001	0.002	1
trichothecene 15-o-acetyltransferase	1	0.001	0.002	1
acetylcholinesterase os=homo sapiens gn=ache pe=1 sv=1	1	0.001	0.002	1
protein rtm1 os=saccharomyces cerevisiae gn=rtm1 pe=3 sv=1	1	0.001	0.002	1
trafficking protein particle complex subunit 10 os=dictyostelium discoideum gn=trapcc10-1 pe=3 sv=1	1	0.001	0.002	1
trna (guanine(37)-n1)-methyltransferase os=coprinopsis cinerea (strain okayama-7 / 130 / atcc mya-4618 / fgsc 9003) gn=trm5 pe=3 sv=2	1	0.001	0.002	1
meiotic coiled-coil protein 2 os=schizosaccharomyces pombe (strain 972 / atcc 24843) gn=mcp2 pe=4 sv=1	1	0.001	0.002	1
glutathione s-transferase pm239x14 os=arabidopsis thaliana pe=2 sv=1	1	0.001	0.002	1
benzoate 4-monooxygenase os=aspergillus niger gn=bpha pe=1 sv=1	1	0.001	0.002	1
malate dehydrogenase, nad-dependent	1	0.001	0.002	1
50s ribosomal protein l32e	1	0.001	0.002	1
chitin deacetylase	1	0.001	0.002	1
alpha/beta hydrolase fold-3	1	0.001	0.002	1
cral-trio domain protein	1	0.001	0.002	1
alpha-d-phosphohexomutase, alpha/beta/alpha domain ii	1	0.001	0.002	1
glycoside hydrolase, clan gh-d	1	0.001	0.002	1
protein of unknown function duf1772	1	0.001	0.002	1
mitochondrial substrate/solute carrier	1	0.001	0.002	1
protein of unknown function duf4646	1	0.001	0.002	1
ethd domain protein	1	0.001	0.002	1
fmn-dependent dehydrogenase	1	0.001	0.002	1
extracellular dioxygenase	1	0.001	0.002	1
cmgc/srpk protein kinase	1	0.001	0.002	2
cmgc protein kinase	1	0.001	0.002	1
