product	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
asparaginyl-trna synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
aspartate aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
aspartate kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
aspartic peptidase domain-containing protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	6
aspartic proteinase	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
aspyridones efflux protein apdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
atp binding cassette subfamily c member 4	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
atp-binding cassette domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
atp-binding cassette sub-family a member 1-like isoform x1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
atp-binding cassette superfamily	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
atp-binding protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
atp-dependent dna helicase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
atp-dependent rna helicase dbp10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
atp-grasp superfamily protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
atp-sulfurylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
autophagic vacuole formation-like protein, putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
autophagy protein apg9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
autophagy-related protein atg22b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
averantin oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
avl9 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
axoneme assembly protein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
