keyword	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
clarin-2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	0	0	0	9	0	0	0	0	0	0	2	0	0	1	0	0	1	0	17	35
class-3-like	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clathrin	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5
claudin	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
claudin-10	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
claudin-10-like	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clavaminate	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	1
cld10	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7
cluster-specific	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5
cmgc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
cmgc/srpk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1
coa-transferase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
coat	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1
cobw/hypb/ureg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
cofactor	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2
coiled-coil	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
common	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	16	1
complex	0	0	0	111	0	0	0	0	0	0	11	0	0	0	0	0	0	1	38	85
complex,	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	24
component	0	0	0	61	0	0	0	1	0	0	3	0	0	0	1	0	0	0	17	31
component-domain-containing	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
concanavalin	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	21
conserved	0	0	0	84	0	8	0	0	0	16	5	0	0	0	0	0	0	0	4	48
control	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	16
copper	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21	12
core-domain-containing	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	5
crumbs	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cullin	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
cupin	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	21
cupredoxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
cutinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13
cyclase	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9
cycle	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
cycles	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyclin-dependent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4
cysteine	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	44
cysteinyl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
cytb-reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
cytidylyltransferase	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17
cytochrome	0	0	0	34	0	2	0	0	0	0	15	0	0	0	0	0	0	0	122	145
cytoplasmic	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15
cytoskeleton-regulatory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
cytosol	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytosolic	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6
dash	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5
de-n-acetylase	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
deacetylase	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	7
deaminase	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	13
death-receptor	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5
debranching	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
decarboxylase	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	1	0	24	20
decarboxylating	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
deformylase	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dehydratase	0	0	0	209	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	36
dehydrogenase	0	0	0	76	0	3	0	0	0	0	16	1	0	1	1	0	2	1	128	193
dehydrogenase,	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	6
dehydrogenase-like	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	7	9
dehydrogenase/reductase	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	15
deleted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
delta	0	0	0	25	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	11
